1, Efficient Solutions, 240-419-00-04, Nikola Nowakowska, efficientsolutions@gmail.com, 255306111, Carpentry, between 1981-2000, between 1-5, EPA Lead-Safe Certification, between 16-50, between 101-500
2, Exquisite Innovations, 218-697-08-06, Hubert Nowak, exquisiteinnovations@gmail.com, 554517587, Painting, between 1900-1950, between 16-50, EPA Lead-Safe Certification, between 0-5, more than 500
3, Innovative Solutions, 444-329-04-03, Renata Michalak, innovativesolutions@gmail.com, 476148130, Electrical, between 2001-2024, over 200, Six Sigma Certification, between 0-5, between 101-500
4, Remodeling Builders, 179-978-09-09, Piotr Lewandowski, remodelingbuilders@gmail.com, 901916048, HVAC, between 1900-1950, between 50-200, CompTIA Security+, between 0-5, more than 500
5, Great Craftsmanship, 628-315-08-03, Hanna Baran, greatcraftsmanship@gmail.com, 307772661, Masonry, between 1900-1950, between 1-5, First Aid Certification, between 0-5, more than 500
6, Construction Services, 942-454-02-04, Aleksander Wisniewski, constructionservices@gmail.com, 639632922, Electrical, between 2001-2024, between 16-50, LEED Certification, over 50, more than 500
7, Ace Solutions, 397-207-07-02, Jakub Lis, acesolutions@gmail.com, 825600975, Renovation, between 1951-1980, between 16-50, PMP Certification, between 6-15, between 21-100
8, Inspiration Design, 521-446-01-04, Kamil Nowakowski, inspirationdesign@gmail.com, 878631065, Carpentry, between 1951-1980, between 16-50, AWS Certified Solutions Architect, between 16-50, between 101-500
9, Master Builders, 856-748-06-07, Artur Mazur, masterbuilders@gmail.com, 912779469, Carpentry, between 2001-2024, between 6-15, Six Sigma Certification, between 6-15, between 21-100
10, Master Works, 375-552-05-05, Magdalena Wojcik, masterworks@gmail.com, 566347497, Electrical, between 1900-1950, between 6-15, Certified ScrumMaster, between 0-5, between 6-20
11, Elite Creations, 724-489-04-04, Dorota Pietrzak, elitecreations@gmail.com, 881966714, Plumbing, between 1951-1980, between 6-15, CompTIA Security+, between 6-15, more than 500
12, Expert Remodeling, 753-787-03-07, Justyna Lewandowska, expertremodeling@gmail.com, 232884955, Landscaping, between 1900-1950, between 50-200, PMP Certification, over 50, between 6-20
13, Top-notch Structural, 281-669-01-06, Lena Michalska, top-notchstructural@gmail.com, 660620733, Renovation, between 1951-1980, between 16-50, LEED Certification, between 16-50, between 6-20
14, Ace Projects, 375-368-05-03, Hubert Szewczyk, aceprojects@gmail.com, 101786513, Carpentry, between 1900-1950, over 200, Cisco Certified Network Associate, between 6-15, between 0-5
15, High-Quality Crafters, 389-334-09-03, Przemyslaw Kaczmarczyk, high-qualitycrafters@gmail.com, 668828874, Painting, between 2001-2024, between 16-50, CompTIA Security+, over 50, between 101-500
16, Elite Architectural, 336-159-06-01, Zuzanna Kaminska, elitearchitectural@gmail.com, 174081912, Plumbing, between 1981-2000, between 6-15, EPA Lead-Safe Certification, between 6-15, between 0-5
17, Great Projects, 345-407-05-04, Ryszard Szewczyk, greatprojects@gmail.com, 877638867, Electrical, between 1951-1980, over 200, Certified ScrumMaster, between 16-50, between 0-5
18, Majestic Renovators, 318-301-08-03, Nikola Witkowska, majesticrenovators@gmail.com, 729507435, Landscaping, between 2001-2024, between 1-5, Certified ScrumMaster, between 16-50, between 6-20
19, Construction Projects, 645-890-05-08, Jan Jablonski, constructionprojects@gmail.com, 318194502, Carpentry, between 1981-2000, over 200, CompTIA Security+, between 6-15, between 101-500
20, Inspiration Creations, 965-770-05-07, Aleksander Adamczyk, inspirationcreations@gmail.com, 973621372, Flooring, between 1900-1950, between 50-200, First Aid Certification, between 16-50, between 21-100
21, Elite Building, 172-619-02-06, Robert Wojcik, elitebuilding@gmail.com, 414037030, Masonry, between 2001-2024, between 6-15, LEED Certification, between 6-15, between 0-5
22, Efficient Construction, 669-744-09-07, Kinga Olszewska, efficientconstruction@gmail.com, 265436289, Landscaping, between 1981-2000, between 16-50, AWS Certified Solutions Architect, between 16-50, between 0-5
23, Innovative Renovators, 724-460-04-04, Renata Wozniak, innovativerenovators@gmail.com, 133022258, Landscaping, between 2001-2024, between 50-200, First Aid Certification, between 6-15, between 0-5
24, Reliable Builders, 353-663-03-06, Filip Jablonski, reliablebuilders@gmail.com, 563620934, Flooring, between 2001-2024, between 1-5, First Aid Certification, over 50, between 0-5
25, Best Builders, 529-567-09-05, Karol Lewandowski, bestbuilders@gmail.com, 147473024, Masonry, between 1951-1980, between 6-15, LEED Certification, between 16-50, between 0-5
26, Ace Works, 252-810-02-08, Wiktoria Witkowska, aceworks@gmail.com, 537607406, Interior Design, between 1900-1950, over 200, AWS Certified Solutions Architect, between 16-50, between 21-100
27, Professional Renovation, 764-591-04-05, Kamila Dabrowska, professionalrenovation@gmail.com, 585774822, Flooring, between 2001-2024, between 16-50, CompTIA Security+, between 0-5, between 101-500
28, Inspiration Design, 849-643-09-06, Martyna Pawlak, inspirationdesign@gmail.com, 842772734, HVAC, between 1981-2000, between 6-15, Certified ScrumMaster, between 16-50, between 101-500
29, Elite Prospects, 995-210-05-02, Aneta Piotrowska, eliteprospects@gmail.com, 595289723, Interior Design, between 2001-2024, between 50-200, PMP Certification, between 16-50, more than 500
30, Skillful Creators, 598-351-08-03, Agata Wisniewska, skillfulcreators@gmail.com, 672742466, HVAC, between 1981-2000, between 1-5, OSHA 30-Hour Certification, between 0-5, more than 500
31, Majestic Architectural, 448-650-08-06, Bartlomiej Wisniewski, majesticarchitectural@gmail.com, 227671364, Painting, between 1951-1980, between 16-50, EPA Lead-Safe Certification, over 50, between 101-500
32, Premier Masters, 813-134-03-01, Katarzyna Walczak, premiermasters@gmail.com, 191827104, Interior Design, between 1981-2000, between 6-15, LEED Certification, between 16-50, between 21-100
33, Majestic Builders, 245-286-05-02, Dawid Piotrowski, majesticbuilders@gmail.com, 373793922, Electrical, between 1981-2000, over 200, CompTIA Security+, between 16-50, between 6-20
34, Dynamic Renovators, 653-688-03-06, Paulina Kubiak, dynamicrenovators@gmail.com, 695570100, Landscaping, between 2001-2024, between 16-50, OSHA 30-Hour Certification, between 6-15, between 0-5
35, Expert Structural, 722-831-02-08, Emilia Pawlak, expertstructural@gmail.com, 536871536, Flooring, between 1981-2000, between 16-50, OSHA 30-Hour Certification, between 6-15, between 101-500
36, Construction Prospects, 717-296-07-02, Jacek Gajewski, constructionprospects@gmail.com, 283400130, Carpentry, between 1981-2000, between 1-5, CompTIA Security+, between 6-15, more than 500
37, Skillful Renovators, 492-910-02-09, Aleksander Kaczmarczyk, skillfulrenovators@gmail.com, 553951489, Plumbing, between 1951-1980, between 1-5, PMP Certification, over 50, between 6-20
38, Golden Hand Master, 650-926-00-09, Julian Kubiak, goldenhandmaster@gmail.com, 391459891, Renovation, between 1900-1950, between 50-200, OSHA 30-Hour Certification, over 50, between 6-20
39, Innovative Crafters, 321-543-01-05, Ewa Mazur, innovativecrafters@gmail.com, 186553247, Landscaping, between 1900-1950, between 1-5, AWS Certified Solutions Architect, between 6-15, more than 500
40, Reliable Masters, 462-451-02-04, Marzena Rutkowska, reliablemasters@gmail.com, 786364032, Painting, between 2001-2024, between 1-5, Six Sigma Certification, between 0-5, between 0-5
41, Eminent Works, 337-824-07-08, Marek Dabrowski, eminentworks@gmail.com, 828498246, Painting, between 1951-1980, between 1-5, First Aid Certification, between 0-5, between 101-500
42, Golden Hand Solutions, 280-466-00-04, Andrzej Zajac, goldenhandsolutions@gmail.com, 434653125, Landscaping, between 1900-1950, between 6-15, Certified ScrumMaster, over 50, between 101-500
43, Advanced Crafters, 923-526-03-05, Grzegorz Rutkowski, advancedcrafters@gmail.com, 537042252, Painting, between 2001-2024, between 50-200, Certified ScrumMaster, between 6-15, between 21-100
44, Renovation Renovation, 766-168-06-01, Aneta Wojciechowska, renovationrenovation@gmail.com, 359520744, Renovation, between 1981-2000, between 6-15, EPA Lead-Safe Certification, between 16-50, between 6-20
45, Expert Renovation, 810-301-00-03, Jan Kaczmarczyk, expertrenovation@gmail.com, 919263958, Renovation, between 2001-2024, between 1-5, Certified ScrumMaster, between 16-50, more than 500
46, Expert Master, 639-470-09-04, Oliwia Kaminska, expertmaster@gmail.com, 784417566, Plumbing, between 1951-1980, between 6-15, AWS Certified Solutions Architect, between 0-5, between 0-5
47, Superior Master, 346-485-06-04, Rafal Lewandowski, superiormaster@gmail.com, 373366105, Interior Design, between 1900-1950, between 1-5, OSHA 30-Hour Certification, between 6-15, between 0-5
48, Best Construction, 355-435-05-04, Filip Kaminski, bestconstruction@gmail.com, 878058810, Masonry, between 1900-1950, between 16-50, Six Sigma Certification, between 16-50, between 21-100
49, Inspiration Works, 215-709-05-07, Ignacy Majewski, inspirationworks@gmail.com, 301757163, Flooring, between 2001-2024, between 6-15, LEED Certification, between 6-15, between 101-500
50, High-Quality Prospects, 873-535-03-05, Adrian Mazur, high-qualityprospects@gmail.com, 244850461, HVAC, between 1981-2000, between 1-5, PMP Certification, over 50, between 101-500
51, Expert Solutions, 222-411-02-04, Hanna Kaminska, expertsolutions@gmail.com, 933488268, Masonry, between 1900-1950, over 200, First Aid Certification, between 16-50, between 0-5
52, Renovation Excellence, 605-616-05-06, Amelia Kaminska, renovationexcellence@gmail.com, 420408502, Interior Design, between 1981-2000, over 200, OSHA 30-Hour Certification, over 50, between 6-20
53, Professional Works, 576-745-06-07, Patrycja Wisniewska, professionalworks@gmail.com, 403688073, Plumbing, between 1981-2000, between 6-15, OSHA 30-Hour Certification, between 6-15, between 6-20
54, Top-notch Structural, 376-769-06-07, Michal Baran, top-notchstructural@gmail.com, 733974019, Interior Design, between 1981-2000, over 200, EPA Lead-Safe Certification, between 6-15, between 6-20
55, Superior Structural, 851-609-01-06, Karol Wojcik, superiorstructural@gmail.com, 997026619, Electrical, between 1900-1950, between 1-5, EPA Lead-Safe Certification, over 50, between 6-20
